Producer country,Year,Commodity,Consumer country,Deforestation emissions incl. peat drainage (MtCO2),Producer country original,Consumer country original,Producer country clean,Consumer country clean,producer_group_optional,consumer_group_optional,Commodity_std,is_feed_crop,is_pasture,LUC_MtCO2_total_commodity,Area_clean,FeedShare_country,FeedShare_global_year,FeedShare_global_crop,feed_share_source,FeedShare_used,component,LUC_livestock_MtCO2,flow_type
Brazil,2018,Sunflower seed,Brazil,0.183878927561852,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Sunflower seed,True,False,0.183878927561852,Brazil,0.9637112248929782,0.6185506849690332,0.6912578697845722,consumer_country_crop_year,0.9637112248929782,Feed,0.1772061865126396,Domestic consumption
Brazil,2019,Sunflower seed,Brazil,0.184924478549797,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Sunflower seed,True,False,0.184924478549797,Brazil,0.7730439851764344,0.6691218420592714,0.6912578697845722,consumer_country_crop_year,0.7730439851764344,Feed,0.14295475585480913,Domestic consumption
Brazil,2020,Sunflower seed,Brazil,0.228501430777309,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Sunflower seed,True,False,0.228501430777309,Brazil,0.884456773768283,0.7595333912810758,0.6912578697845722,consumer_country_crop_year,0.884456773768283,Feed,0.20209963826673538,Domestic consumption
Brazil,2021,Sunflower seed,Brazil,0.209932187278759,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Sunflower seed,True,False,0.209932187278759,Brazil,0.5973385866014883,0.6772101104376352,0.6912578697845722,consumer_country_crop_year,0.5973385866014883,Feed,0.12540059603125284,Domestic consumption
Brazil,2022,Sunflower seed,Brazil,0.213815812964712,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,Sunflower seed,True,False,0.213815812964712,Brazil,0.6194224551480537,0.7326859523449321,0.6912578697845722,consumer_country_crop_year,0.6194224551480537,Feed,0.13244231581607896,Domestic consumption
Brazil,2018,"Cattle and buffalo meat, plus associated co-products",Brazil,660.910338595313,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,RUMINANT_MEAT,False,True,660.910338595313,,,,,pasture_not_applicable,0.0,Pasture,660.910338595313,Domestic consumption
Brazil,2019,"Cattle and buffalo meat, plus associated co-products",Brazil,694.257798088209,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,RUMINANT_MEAT,False,True,694.257798088209,,,,,pasture_not_applicable,0.0,Pasture,694.257798088209,Domestic consumption
Brazil,2020,"Cattle and buffalo meat, plus associated co-products",Brazil,686.04127018764,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,RUMINANT_MEAT,False,True,686.04127018764,,,,,pasture_not_applicable,0.0,Pasture,686.04127018764,Domestic consumption
Brazil,2021,"Cattle and buffalo meat, plus associated co-products",Brazil,668.3345029674609,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,RUMINANT_MEAT,False,True,668.3345029674609,,,,,pasture_not_applicable,0.0,Pasture,668.3345029674609,Domestic consumption
Brazil,2022,"Cattle and buffalo meat, plus associated co-products",Brazil,557.397230654213,Brazil,Brazil,Brazil,Brazil,Global South / other,Global South / other,RUMINANT_MEAT,False,True,557.397230654213,,,,,pasture_not_applicable,0.0,Pasture,557.397230654213,Domestic consumption
