Consumer country clean,Commodity_std,component,LUC_livestock_MtCO2,share_of_brazil_production_percent
Cyprus,Maize,Feed,0.005957460824189623,0.00013524281473664156
Turkey,Sunflower seed,Feed,0.00545220188205516,0.00012377271975462078
India,Sorghum,Feed,0.005397818975656004,0.00012253815060644992
Latvia,Maize,Feed,0.005158224907112288,0.00011709902525081424
Bulgaria,Maize,Feed,0.00455542722823659,0.00010341466253090444
RoW Africa,Barley,Feed,0.004555029363143652,0.00010340563042869807
Belgium,Sunflower seed,Feed,0.004465035060291668,0.00010136263204614143
Estonia,Maize,Feed,0.004161799251830625,9.447874888258053e-05
Netherlands,Sunflower seed,Feed,0.004051210179331941,9.196822000371526e-05
Finland,Sorghum,Feed,0.004011189480294306,9.105969334356488e-05
Denmark,Sorghum,Feed,0.003462532527822525,7.860440194226474e-05
Poland,Sunflower seed,Feed,0.003216715033440209,7.302399598864351e-05
United States,Barley,Feed,0.003178359433890979,7.215326944976527e-05
Romania,Sorghum,Feed,0.003031016863450476,6.880838401199723e-05
Turkey,Barley,Feed,0.003023296475110858,6.863312024095062e-05
Slovenia,Sunflower seed,Feed,0.002869306660710647,6.513733293242217e-05
Japan,Barley,Feed,0.002856765681586377,6.485263490982955e-05
Greece,Sorghum,Feed,0.002810189369127699,6.37952865221762e-05
Slovenia,Sorghum,Feed,0.0022889892222831584,5.196330357162193e-05
Czechia,Sorghum,Feed,0.0022603652859916994,5.131349959856336e-05
Canada,Sunflower seed,Feed,0.0022521001797102843,5.112586995724749e-05
Australia,Sunflower seed,Feed,0.0019999599662805477,4.540192930889691e-05
Hungary,Sorghum,Feed,0.001988849386197582,4.514970337437194e-05
UK and RoW Europe,Barley,Feed,0.0019329671503051265,4.38810973190563e-05
Germany,Barley,Feed,0.0018832324920320365,4.275204999951599e-05
Spain,Barley,Feed,0.001787402187276993,4.0576566092090514e-05
South Africa,Sorghum,Feed,0.0015815202596105827,3.590275417410807e-05
Belgium,Barley,Feed,0.0015612906023504828,3.54435122470937e-05
Netherlands,Barley,Feed,0.001559605182443992,3.5405250823494994e-05
Switzerland,Sunflower seed,Feed,0.001534887336564797,3.4844120645793235e-05
Italy,Barley,Feed,0.0015168751307314285,3.4435218012874644e-05
Taiwan,Barley,Feed,0.001448886555686329,3.2891780879104916e-05
Russia,Sunflower seed,Feed,0.0013753048569470042,3.1221371900467024e-05
México,Sunflower seed,Feed,0.0012409952467783022,2.8172353155494046e-05
Sweden,Sunflower seed,Feed,0.001115045201050296,2.531310838609494e-05
Russia,Barley,Feed,0.001065877761801689,2.4196937743331384e-05
Romania,Sunflower seed,Feed,0.0010258992340120819,2.3289368430354998e-05
Austria,Sunflower seed,Feed,0.0008834134730859992,2.005473946069545e-05
Ireland,Sunflower seed,Feed,0.0008274937733495479,1.8785282922957452e-05
Canada,Barley,Feed,0.0008229814483911673,1.8682846743117227e-05
France,Barley,Feed,0.0008126666028257368,1.8448685111339758e-05
South Africa,Sunflower seed,Feed,0.0007988674348669241,1.8135424416750573e-05
Bulgaria,Sorghum,Feed,0.0006782550821008271,1.539735285212311e-05
China,Barley,Feed,0.0006709690570303753,1.5231949743676535e-05
México,Barley,Feed,0.0006335949137782898,1.4383503655494316e-05
Norway,Sunflower seed,Feed,0.0006213267166048819,1.4104998170281748e-05
Croatia,Sorghum,Feed,0.0004978919331897613,1.1302853424707291e-05
Australia,Barley,Feed,0.00046537955679284493,1.0564776343303362e-05
Lithuania,Sorghum,Feed,0.000424676418600731,9.640757345920399e-06
Estonia,Sorghum,Feed,0.000352710325335898,8.007024904203567e-06
Poland,Barley,Feed,0.0003450759893214651,7.833714643052556e-06
India,Barley,Feed,0.000296004637674093,6.719725325191639e-06
Portugal,Barley,Feed,0.00026422412368247374,5.998262558948696e-06
Luxembourg,Barley,Feed,0.0002067507210068437,4.693534759684997e-06
Denmark,Sunflower seed,Feed,0.00020304184896877,4.609338101288113e-06
Slovakia,Sorghum,Feed,0.00014862811103594407,3.3740690335509575e-06
South Africa,Barley,Feed,0.0001158276267869976,2.629451495062013e-06
Ireland,Barley,Feed,8.042843460638643e-05,1.8258395987873286e-06
Republic of Korea,Barley,Feed,5.388949487147355e-05,1.223368006309178e-06
Indonesia,Barley,Feed,0.0,0.0
Finland,Maize,Feed,0.0,0.0
